country,state,city,location_x,location_y
United States,Vermont,Londonderry,-72.821619,43.228259
United States,New York,Ossining,-73.86341,41.160793
United States,Washington,Maple Valley,-122.02336,47.367729
United States,Illinois,Chicago,-87.664233,41.943816
United States,Virginia,Wytheville ,-81.083367,36.9486397
United States,Pennsylvania,Pittsburgh ,-79.988803,40.400201
United States,Virginia,Roanoke,-79.978064,37.265053
United States,Georgia,Athens,-83.412131,33.9644564
United States,Georgia,Athens,-83.380247,33.959088
United States,Maryland,Baltimore,-76.601326,39.273864
United States,Connecticut,Lebanon,-72.212877,41.635781
United States,Indiana,Rochester,-86.215833,41.0647645
United States,Virginia,Richmond,-77.610398,37.519516
United States,Iowa,Davenport,-90.571154,41.562863
United States,New Hampshire,Exeter,-71.000312,43.0168516
United States,Tennessee,Columbia,-87.03048,35.6187845
United States,Iowa,Ottumwa,-92.425855,41.017422
United States,Georgia,Carrollton,-85.07274,33.571347
United States,Vermont,Danville,-72.140337,44.411036
United States,Vermont,St. Johnsbury,-72.016831,44.417224
United States,North Carolina,North Wilkesboro,-81.1452,36.159075
United States,Ohio,Kent,-81.360033,41.150692
United States,Iowa,Manson ,-94.539507,42.527104
United States,Indiana,Martinsville ,-86.428695,39.423392
United States,Indiana,Mooresville ,-86.379609,39.612806
United States,North Dakota,Watford City,-103.27139,47.797315
United States,North Dakota,Bottineau,-100.44594,48.8262788
United States,Tennessee,Dyersburg,-89.389549,36.030081
United States,Louisiana,Delcambre ,-91.982453,29.941659
United States,Michigan,Livonia,-83.331995,42.362596
United States,Ohio,Steubenville,-80.669759,40.377613
United States,Vermont,Stowe,-72.712004,44.473531
United States,Vermont,Peacham,-72.170037,44.327445
United States,Oregon,Portland,-122.68679,45.583224
United States,Oregon,Portland,-122.65898,45.557097
United States,Oregon,Portland,-122.56858,45.4813183
United States,Oregon,Portland ,-122.68483,45.512348
United States,Oregon,Portland ,-122.68223,45.517125
United States,Connecticut,Voluntown,-71.865502,41.573913
United States,Pennsylvania,Yardley,-74.839997,40.240829
United States,North Carolina,Henderson,-78.424401,36.3378971
United States,Indiana,Richmond,-84.893377,39.829996
United States,Washington,Bremerton,-122.62886,47.574253
United States,Iowa,Guttenberg,-91.095446,42.782433
United States,Florida,Gainesville ,-82.39552,29.62549
United States,District of Columbia,Washington,-77.044967,38.911806
United States,Texas,Celina,-96.786984,33.3247511
United States,Texas,Beaumont,-94.169203,30.067686
United States,New Mexico,Silver City,-108.27618,32.774517
United States,New York,Indian Lake,-74.270529,43.782397
United States,New York,Sedalia,-93.255481,38.698011
United States,North Carolina,Fayetteville ,-78.853162,35.1865196
United States,Connecticut,Orange ,-73.021058,41.2735586
United States,Georgia,Eastman,-83.176305,32.20079
United States,Kansas,Gardner ,-94.925777,38.812999
United States,Michigan,Lawrence ,-86.048868,42.219637
United States,Iowa,Urbana,-91.873662,42.223981
United States,West Virginia,Charles Town,-77.858454,39.289073
United States,Florida,Brooksville,-82.449304,28.654639
United States,Missouri,Georgia Street,-91.062659,39.441188
United States,Florida,Orange Park,-81.701664,30.165484
United States,Indiana,Muncie,-85.410675,40.1883942
United States,Wisconsin,Antigo,-89.14985,45.138703
United States,South Carolina,Union ,-81.614994,34.716023
United States,Michigan,Hudsonville,-85.865455,42.8677383
United States,District of Columbia,Washington,-77.038675,38.931518
United States,New York,Norwich,-75.523641,42.531632
United States,California,Tahoe City,-120.14113,39.169938
United States,Georgia,Rockmart,-85.053094,33.997669
United States,New Jersey,Flemington,-74.871267,40.505223
United States,Wisconsin,Baldwin,-92.370763,44.966999
United States,Vermont,Rutland ,-72.980071,43.605826
United States,New York,Elmira,-76.794875,42.088757
United States,Minnesota,Alexandria,-95.375902,45.890762
United States,Virginia,Ruther Glen,-77.518506,38.016661
United States,Virginia,King George,-77.2028,38.27678
United States,South Carolina,Florence,-79.773582,34.198789
United States,Texas,Waco,-97.132941,31.55682
United States,Indiana,Speedway,-86.247542,39.793698
United States,Florida,Miami,-80.189855,25.787138
United States,Tennessee,Knoxville,-83.910506,35.965659
United States,Massachusetts,Roslindale,-71.130709,42.286072
United States,Kansas,Columbus,-94.831459,37.171861
United States,Georgia,Blairsville,-83.950669,34.886298
United States,California,Newport Beach ,-117.92879,33.607886
United States,Kentucky,Frankfort,-84.88021,38.201613
United States,North Carolina,Jacksonville,-77.49326,34.782418
United States,Washington,Shoreline,-122.34945,47.741553
United States,Arkansas,Hot Springs,-93.050943,34.504886
United States,West Virginia,Williamson,-82.277984,37.674029
United States,Michigan,Plainwell,-85.643297,42.44491
United States,Tennessee,Knoxville,-83.910507,35.96565
United States,Wyoming,Sheridan,-106.94832,44.760524
United States,Missouri,Joplin,-94.502691,37.087883
United States,Illinois,Elgin ,-88.282543,42.036328
United States,Illinois,Chicago,-87.681844,41.837551
United States,New York,Seneca Falls,-76.800314,42.909109
United States,Ohio,Westerville,-82.913324,40.123435
United States,Wisconsin,Shawano,-88.612868,44.777707
United States,Pennsylvania,Scranton,-75.662496,41.422523
United States,Texas,Victoria,-97.000968,28.821562
United States,Ohio,Stow,-81.452156,41.168794
United States,Indiana,Gas City,-85.598506,40.489812
United States,Texas,Friendswood,-95.150682,29.548702
United States,Arkansas,Russellville,-93.135468,35.280402
United States,District of Columbia,Washington,-77.058379,38.934817
United States,Ohio,Wadsworth,-81.732318,41.028681
United States,Pennsylvania,Lansdale,-75.277496,40.234201
United States,California,West Hollywood,-118.35143,34.094113
United States,Ohio,Cincinnati,-84.54095,39.23161
United States,Michigan,Midland,-84.236727,43.609016
United States,Maryland,Parkton,-76.644722,39.4668834
United States,Florida,Jacksonville,-81.72001,30.40374
United States,Indiana,Evansville,-87.568349,37.972884
United States,Ohio,Galloway,-83.009303,39.9695356
United States,Maine,Lewiston,-70.220379,44.096575
United States,Ohio,Newark,-82.401032,40.056586
United States,Rhode Island,Portsmouth,-71.261378,41.546506
United States,Ohio,Cincinnati ,-84.539984,39.163947
United States,Michigan,Menominee,-87.603938,45.105926
United States,Oregon,Welches ,-121.96091,45.349594
United States,Rhode Island,Saunderstown,-71.423632,41.512
United States,Kansas,Perry,-95.392324,39.08143
United States,New York,Clinton,-75.378462,43.048866
United States,Ohio,Columbus ,-82.994617,39.948137
United States,Oregon,Gresham ,-122.42697,45.499582
United States,Wisconsin,Oak Creek ,-87.917781,42.899242
United States,Alaska,Soldotna,-151.06758,60.49304
United States,Kansas,Iola,-95.400669,37.927427
United States,Kansas,Iola,-95.400669,37.927427
United States,Minnesota,Goodhue ,-92.624672,44.403334
United States,Washington,Clarkston,-117.03992,46.410563
United States,Indiana,Indianapolis,-86.274997,39.894467
United States,North Carolina,Cedar Point,-77.083526,34.68261
United States,Michigan,Marlette,-83.080532,43.327346
United States,Oregon,Portland,-122.58431,45.519002
United States,North Carolina,Asheville,-82.598648,35.555133
United States,Pennsylvania,Enola,-76.937407,40.273997
